央视频道,#genre#
CCTV-1,http://223.10.5.47:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://110.177.148.13:58888/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://110.178.52.75:8085/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://27.10.75.129:8004/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://www.furymax.top:85/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://115.171.80.152:4000/rtp/225.1.8.1:8008$1920x1080
CCTV-1,http://110.178.52.75:8082/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$1920x1080
CCTV-1,http://27.11.251.221:8001/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://27.11.251.221:8008/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://110.178.52.91:8082/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://110.177.146.171:888/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://61.55.13.136:4000/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://114.249.234.227:8182/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://171.116.71.172:8084/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://222.128.183.216:8383/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://27.11.251.76:8003/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://114.254.93.135:2222/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://114.254.94.118:2222/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://27.10.75.129:8006/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://123.113.187.204:8000/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://123.145.17.138:8004/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://171.223.90.34:9527/rtp/239.93.0.184:5140$1920x1080
CCTV-1,http://117.32.85.85:8025/rtp/239.112.205.59:5140$1920x1080
CCTV-1,http://115.60.241.249:2000/rtp/225.1.4.73:1102$1920x1080
CCTV-1,http://ycsj.aguihome.com:4022/rtp/233.50.201.118:5140$1920x1080
CCTV-1,http://119.98.133.99:4022/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://180.103.165.67:8888/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://61.190.129.195:8686/rtp/238.1.78.166:7200$1920x1080
CCTV-1,http://58.48.200.208:12312/rtp/239.254.96.96:8550$1920x1080
CCTV-2,http://113.25.70.59:8891/udp/239.1.1.8:8008$1920x1080
CCTV-2,http://115.230.189.122:9999/udp/233.50.200.25:5140$1920x1080
CCTV-2,http://183.185.227.252:8001/rtp/226.0.2.154:9144$1920x1080
CCTV-2,http://27.11.250.143:8003/udp/225.0.4.132:7980$1920x1080
CCTV-2,http://220.249.114.102:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://182.117.136.112:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV-2,http://220.164.192.48:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV-2,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV2HD/index.m3u8?gMac=unknown&livodToken=3c65cf8c046f4fa02293a900a4fb002a1581aa92702ef56b1b4b66d7c9d5dcd3_1720507803_604800&fromCDN=ws
CCTV-2,http://[2409:8087:1a01:df::4059]/TVOD/88888888/224/3221226079/main.m3u8$IPv6
CCTV-2,http://116.231.244.25:8888/rtp/239.45.1.109:5140$1920x1080
CCTV-2,http://222.67.198.96:9898/rtp/239.45.1.109:5140$1920x1080
CCTV-2,http://180.159.68.190:4022/rtp/239.45.1.109:5140$1920x1080
CCTV-2,http://218.78.180.91:9999/rtp/239.45.1.109:5140$1920x1080
CCTV-2,http://116.227.10.196:2048/rtp/239.45.1.109:5140$1920x1080
CCTV-2,http://222.68.11.73:9898/rtp/239.45.1.109:5140$1920x1080
CCTV-2,http://223.12.113.32:8083/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://223.10.5.47:8083/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://110.177.148.13:58888/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://223.10.115.195:8083/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://110.179.80.56:8082/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://110.178.52.75:8082/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://113.25.70.59:8891/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://110.178.52.91:8082/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://110.178.52.75:8085/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://223.10.39.207:8082/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://223.10.39.207:8083/rtp/239.1.1.8:8008$1920x1080
